Y,LNTT,DTL,Size,ATR,ROA,G_ASSET,Price,TL,DLTT,EBITDA,Inven,Cash,che
0.00,903174.00,4.42,13.91,0.32,0.06,5736197.00,46.06,9143044.00,2774444.00,2.48,7307628.00,579950.00,16610.00
0.00,488170.00,0.51,12.28,0.05,0.01,13693627.00,14.00,5449340.00,1286792.00,1.30,8121354.00,163672.00,0.00
0.00,359494.00,2.54,14.63,0.21,0.03,4698024.00,30.70,4937626.00,939604.00,0.92,3675668.00,85478.00,0.00
0.00,-9778.00,1.38,10.15,0.00,-0.01,559906.00,29.40,440018.00,203098.00,0.00,0.00,13850.00,0.00
0.00,2916816.00,1.42,11.46,0.33,0.08,14631619.00,53.28,11552744.00,3136878.00,1.36,14675986.00,3671496.00,0.00
0.00,107798.00,0.14,9.95,0.17,0.15,217154.00,47.20,39938.00,21762.00,0.00,0.00,6864.00,405000.00
0.00,2504.00,4.25,4.09,0.87,0.01,180700.00,7.40,147882.00,0.00,-0.10,9114.00,4264.00,0.00
0.00,44426.00,6.35,12.28,1.15,0.02,893587.00,34.60,1584434.00,422348.00,0.12,390316.00,460550.00,0.00
0.00,9094.00,5.75,11.91,0.75,0.01,329864.00,0.00,500790.00,36582.00,0.00,187226.00,36974.00,378.00
0.00,81740.00,0.95,10.12,0.23,0.07,558320.00,106.18,328936.00,3300.00,1.56,222794.00,193560.00,417320.00
0.00,52234.00,11.35,13.77,0.76,0.01,3052795.00,17.22,4482696.00,665158.00,-0.88,1494436.00,374906.00,0.00
0.00,-19366.00,9.38,9.72,0.53,-0.05,192881.00,13.00,336624.00,4946.00,0.00,113696.00,2770.00,6926.00
0.00,462.00,14.34,10.63,1.27,0.00,181396.00,5.00,690796.00,0.00,0.40,316642.00,15194.00,0.00
1.00,-21452.00,-3.88,8.88,0.00,-0.09,105852.00,0.00,481484.00,0.00,0.00,176234.00,4710.00,0.00
0.00,3700.00,10.61,12.16,0.70,0.00,978945.00,16.80,1562040.00,19682.00,-1.14,1218228.00,29048.00,17400.00
0.00,1708.00,9.09,12.13,0.55,0.00,624409.00,19.18,1006192.00,20122.00,0.04,449230.00,16666.00,0.00
0.00,7174.00,8.10,10.78,0.87,0.02,201374.00,13.60,247470.00,8348.00,0.00,88032.00,19470.00,0.00
0.00,745822.00,4.64,14.76,0.58,0.05,7546260.00,26.30,8572218.00,1678284.00,2.80,1147814.00,484354.00,77490.00
0.00,512.00,5.75,11.33,0.24,0.00,344381.00,4.00,487552.00,1678.00,0.60,409940.00,96.00,0.00
0.00,1030844.00,3.36,15.67,0.06,0.04,12551152.00,138.00,14921560.00,12351348.00,0.20,54538.00,341154.00,49738.00
0.00,38010.00,2.80,10.46,0.09,0.00,1843180.00,13.02,2109374.00,326732.00,1.06,749770.00,131972.00,10640.00
0.00,221298.00,1.09,13.32,1.18,0.12,828802.00,101.46,517544.00,10418.00,0.46,137942.00,296662.00,0.00
0.00,492820.00,2.05,11.92,0.25,0.08,2964105.00,66.00,2631920.00,1125316.00,1.32,1399306.00,521038.00,866118.00
0.00,46084.00,10.81,14.66,0.44,0.00,6622199.00,12.40,9023102.00,3140806.00,1.56,1867928.00,381444.00,6000.00
1.00,-289388.00,-2.62,9.36,0.64,-0.92,-68982.00,0.00,1321498.00,22.00,0.00,83534.00,2444.00,0.00
0.00,-11088.00,7.53,10.15,0.59,-0.03,177833.00,7.20,285750.00,0.00,-1.50,175260.00,270.00,0.00
0.00,26560.00,8.84,12.64,0.86,0.00,1244847.00,21.44,2571702.00,41894.00,-0.38,1528756.00,9146.00,299792.00
1.00,-113314.00,-52.78,11.74,0.25,-0.14,344975.00,3.20,817668.00,0.00,-0.62,408212.00,528.00,0.00
0.00,-2646.00,6.63,9.76,0.00,-0.01,223107.00,4.00,343278.00,0.00,0.00,42840.00,6930.00,0.00
0.00,132.00,4.14,10.75,0.45,0.00,119921.00,12.20,759340.00,494.00,2.36,625558.00,394.00,17102.00
